pair_id,nb_classes_v1,nb_classes_v2,delta_classes,nb_added_classes,nb_removed_classes,nb_attributes_v1,nb_attributes_v2,delta_attributes,nb_added_attributes,nb_removed_attributes,nb_type_changes,nb_references_v1,nb_references_v2,delta_references,nb_added_references,nb_removed_references,nb_multiplicity_changes,nb_containment_changes,nb_abstract_changes,nb_supertype_changes,nsuri_changed,label
change_abstract4__change_abstract4_v1__to__change_abstract4_v2,2,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,MIXED
change_abstract__change_abstract_v1__to__change_abstract_v2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,MIXED
change_containment2__change_containment2_v1__to__change_containment2_v2,2,2,0,0,0,3,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,MIXED
change_containment3__change_containment3_v1__to__change_containment3_v2,2,2,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,MIXED
change_containment4__change_containment4_v1__to__change_containment4_v2,2,2,0,0,0,3,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,MIXED
change_containment__change_containment_v1__to__change_containment_v2,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,MIXED
change_multiplicity2__change_multiplicity2_v1__to__change_multiplicity2_v2,2,2,0,0,0,2,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,MIXED
change_multiplicity3__change_multiplicity3_v1__to__change_multiplicity3_v2,2,2,0,0,0,2,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,MIXED
change_multiplicity4__change_multiplicity4_v1__to__change_multiplicity4_v2,2,2,0,0,0,2,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,MIXED
change_multiplicity__change_multiplicity_v1__to__change_multiplicity_v2,2,2,0,0,0,2,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,MIXED
change_nsuri2__change_nsuri2_v1__to__change_nsuri2_v2,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,MIXED
change_nsuri3__change_nsuri3_v1__to__change_nsuri3_v2,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,MIXED
change_nsuri4__change_nsuri4_v1__to__change_nsuri4_v2,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,MIXED
change_nsuri__change_nsuri_v1__to__change_nsuri_v2,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,MIXED
change_type2__change_type2_v1__to__change_type2_v2,1,1,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,MIXED
change_type3__change_type3_v1__to__change_type3_v2,1,1,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,MIXED
change_type4__change_type4_v1__to__change_type4_v2,1,1,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,MIXED
change_type__change_type_v1__to__change_type_v2,1,1,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,MIXED
mixed2__mixed2_v1__to__mixed2_v2,2,3,1,2,1,3,7,4,1,0,0,0,1,1,1,0,0,0,0,0,1,MIXED
mixed3__mixed3_v1__to__mixed3_v2,2,3,1,1,0,3,6,3,3,1,0,0,1,1,1,0,0,0,1,0,1,MIXED
mixed4__mixed4_v1__to__mixed4_v2,2,3,1,1,0,3,7,4,3,1,0,0,1,1,1,0,0,0,1,0,1,MIXED
mixed__mixed_v1__to__mixed_v2,2,3,1,2,1,4,5,1,1,0,0,0,1,1,0,0,0,0,0,0,1,MIXED
remove_attribute2__remove_attribute2_v1__to__remove_attribute2_v2,1,1,0,0,0,4,2,-2,0,2,0,0,0,0,0,0,0,0,0,0,0,MIXED
remove_attribute3__remove_attribute3_v1__to__remove_attribute3_v2,1,1,0,0,0,4,2,-2,0,2,0,0,0,0,0,0,0,0,0,0,0,MIXED
remove_attribute4__remove_attribute4_v1__to__remove_attribute4_v2,1,1,0,0,0,5,2,-3,0,3,0,0,0,0,0,0,0,0,0,0,0,MIXED
remove_attribute__remove_attribute_v1__to__remove_attribute_v2,1,1,0,0,0,4,2,-2,0,2,0,0,0,0,0,0,0,0,0,0,0,MIXED
remove_eclass2__remove_eclass2_v1__to__remove_eclass2_v2,3,2,-1,0,1,4,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
remove_eclass3__remove_eclass3_v1__to__remove_eclass3_v2,3,2,-1,0,1,4,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
remove_eclass4__remove_eclass4_v1__to__remove_eclass4_v2,3,2,-1,0,1,5,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
remove_eclass__remove_eclass_v1__to__remove_eclass_v2,3,2,-1,0,1,4,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
remove_reference2__remove_reference2_v1__to__remove_reference2_v2,2,2,0,0,0,2,2,0,0,0,0,2,1,-1,0,1,0,0,0,0,0,MIXED
remove_reference3__remove_reference3_v1__to__remove_reference3_v2,2,2,0,0,0,2,2,0,0,0,0,2,1,-1,0,1,0,0,0,0,0,MIXED
remove_reference4__remove_reference4_v1__to__remove_reference4_v2,2,2,0,0,0,4,4,0,0,0,0,2,1,-1,0,1,0,0,0,0,0,MIXED
remove_reference__remove_reference_v1__to__remove_reference_v2,3,3,0,0,0,3,3,0,0,0,0,2,1,-1,0,1,0,0,0,0,0,MIXED
rename_attribute2__rename_attribute2_v1__to__rename_attribute2_v2,1,1,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,MIXED
rename_attribute3__rename_attribute3_v1__to__rename_attribute3_v2,1,1,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,MIXED
rename_attribute4__rename_attribute4_v1__to__rename_attribute4_v2,1,1,0,0,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,MIXED
rename_attribute__rename_attribute_v1__to__rename_attribute_v2,1,1,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,MIXED
rename_eclass2__rename_eclass2_v1__to__rename_eclass2_v2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
rename_eclass3__rename_eclass3_v1__to__rename_eclass3_v2,2,2,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
rename_eclass4__rename_eclass4_v1__to__rename_eclass4_v2,2,2,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
rename_eclass__rename_eclass_v1__to__rename_eclass_v2,2,2,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__add_attribute2_v1__to__add_attribute2_v2,1,1,0,0,0,1,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__add_attribute3_v1__to__add_attribute3_v2,1,1,0,0,0,1,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__add_attribute4_v1__to__add_attribute4_v2,1,1,0,0,0,1,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__add_attribute_v1__to__add_attribute_v2,1,1,0,0,0,1,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__add_eclass2_v1__to__add_eclass2_v2,1,3,2,2,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__add_eclass3_v1__to__add_eclass3_v2,1,3,2,2,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__add_eclass4_v1__to__add_eclass4_v2,1,3,2,2,0,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__add_eclass5_v1__to__add_eclass5_v2,1,4,3,3,0,2,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__add_eclass_v1__to__add_eclass_v2,1,3,2,2,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__add_reference2_v1__to__add_reference2_v2,2,2,0,0,0,2,2,0,0,0,0,0,3,3,3,0,0,0,0,0,0,MIXED
synthetic__add_reference3_v1__to__add_reference3_v2,2,2,0,0,0,2,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,MIXED
synthetic__add_reference4_v1__to__add_reference4_v2,3,3,0,0,0,4,4,0,0,0,0,0,4,4,4,0,0,0,0,0,0,MIXED
synthetic__add_reference_v1__to__add_reference_v2,2,2,0,0,0,2,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,MIXED
synthetic__add_supertype2_v1__to__add_supertype2_v2,3,3,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,MIXED
synthetic__add_supertype3_v1__to__add_supertype3_v2,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,MIXED
synthetic__add_supertype4_v1__to__add_supertype4_v2,3,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,MIXED
synthetic__add_supertype_v1__to__add_supertype_v2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,MIXED
synthetic__change_abstract2_v1__to__change_abstract2_v2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,MIXED
synthetic__change_abstract3_v1__to__change_abstract3_v2,2,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,MIXED
synthetic__change_abstract4_v1__to__change_abstract4_v2,2,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,MIXED
synthetic__change_abstract_v1__to__change_abstract_v2,2,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,MIXED
synthetic__change_containment2_v1__to__change_containment2_v2,2,2,0,0,0,3,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,MIXED
synthetic__change_containment3_v1__to__change_containment3_v2,2,2,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,MIXED
synthetic__change_containment4_v1__to__change_containment4_v2,2,2,0,0,0,3,3,0,0,0,0,1,1,0,0,0,0,1,0,0,0,MIXED
synthetic__change_containment_v1__to__change_containment_v2,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,MIXED
synthetic__change_multiplicity2_v1__to__change_multiplicity2_v2,2,2,0,0,0,2,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,MIXED
synthetic__change_multiplicity3_v1__to__change_multiplicity3_v2,2,2,0,0,0,2,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,MIXED
synthetic__change_multiplicity4_v1__to__change_multiplicity4_v2,2,2,0,0,0,2,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,MIXED
synthetic__change_multiplicity_v1__to__change_multiplicity_v2,2,2,0,0,0,2,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,MIXED
synthetic__change_nsuri2_v1__to__change_nsuri2_v2,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,MIXED
synthetic__change_nsuri3_v1__to__change_nsuri3_v2,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,MIXED
synthetic__change_nsuri4_v1__to__change_nsuri4_v2,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,MIXED
synthetic__change_nsuri_v1__to__change_nsuri_v2,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,MIXED
synthetic__change_type2_v1__to__change_type2_v2,1,1,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__change_type3_v1__to__change_type3_v2,1,1,0,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__change_type4_v1__to__change_type4_v2,1,1,0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__change_type_v1__to__change_type_v2,1,1,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__mixed2_v1__to__mixed2_v2,2,3,1,2,1,3,7,4,1,0,0,0,1,1,1,0,0,0,0,0,1,MIXED
synthetic__mixed3_v1__to__mixed3_v2,2,3,1,1,0,3,6,3,3,1,0,0,1,1,1,0,0,0,1,0,1,MIXED
synthetic__mixed4_v1__to__mixed4_v2,2,3,1,1,0,3,7,4,3,1,0,0,1,1,1,0,0,0,1,0,1,MIXED
synthetic__mixed_v1__to__mixed_v2,2,3,1,2,1,4,5,1,1,0,0,0,1,1,0,0,0,0,0,0,1,MIXED
synthetic__remove_attribute2_v1__to__remove_attribute2_v2,1,1,0,0,0,4,2,-2,0,2,0,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__remove_attribute3_v1__to__remove_attribute3_v2,1,1,0,0,0,4,2,-2,0,2,0,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__remove_attribute4_v1__to__remove_attribute4_v2,1,1,0,0,0,5,2,-3,0,3,0,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__remove_attribute_v1__to__remove_attribute_v2,1,1,0,0,0,4,2,-2,0,2,0,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__remove_eclass2_v1__to__remove_eclass2_v2,3,2,-1,0,1,4,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__remove_eclass3_v1__to__remove_eclass3_v2,3,2,-1,0,1,4,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__remove_eclass4_v1__to__remove_eclass4_v2,3,2,-1,0,1,5,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__remove_eclass_v1__to__remove_eclass_v2,3,2,-1,0,1,4,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__remove_reference2_v1__to__remove_reference2_v2,2,2,0,0,0,2,2,0,0,0,0,2,1,-1,0,1,0,0,0,0,0,MIXED
synthetic__remove_reference3_v1__to__remove_reference3_v2,2,2,0,0,0,2,2,0,0,0,0,2,1,-1,0,1,0,0,0,0,0,MIXED
synthetic__remove_reference4_v1__to__remove_reference4_v2,2,2,0,0,0,4,4,0,0,0,0,2,1,-1,0,1,0,0,0,0,0,MIXED
synthetic__remove_reference_v1__to__remove_reference_v2,3,3,0,0,0,3,3,0,0,0,0,2,1,-1,0,1,0,0,0,0,0,MIXED
synthetic__rename_attribute2_v1__to__rename_attribute2_v2,1,1,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__rename_attribute3_v1__to__rename_attribute3_v2,1,1,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__rename_attribute4_v1__to__rename_attribute4_v2,1,1,0,0,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__rename_attribute_v1__to__rename_attribute_v2,1,1,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__rename_eclass2_v1__to__rename_eclass2_v2,2,2,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__rename_eclass3_v1__to__rename_eclass3_v2,2,2,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__rename_eclass4_v1__to__rename_eclass4_v2,2,2,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
synthetic__rename_eclass_v1__to__rename_eclass_v2,2,2,0,2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MIXED
